,"k-means clusters 50, (Joules)"
0,9.285127194900544e-21
1,2.500771344741152e-20
2,3.951802990745312e-20
3,2.2267910685548936e-20
4,3.4843372464447245e-20
5,3.769345351158556e-20
6,3.094527647713776e-20
7,3.0485818080132606e-20
8,3.6792619920878444e-20
9,2.096772658505417e-20
10,3.1152734678939274e-20
11,3.6370975797396656e-20
12,8.354021859716683e-21
13,2.925121503093112e-20
14,3.5469005572497175e-20
15,2.106327260624748e-20
16,3.4572796961093784e-20
17,2.2928648835277806e-20
18,1.8904859895024085e-20
19,1.3939514955400524e-20
20,2.6426519909379676e-20
21,9.464163251438783e-21
22,3.634293200071864e-20
23,3.168949117862243e-20
24,3.740183180709436e-20
25,3.2398731445669813e-20
26,3.216586081110332e-20
27,3.042107847759788e-20
28,1.4000174382011987e-20
29,3.446647531422744e-20
30,2.0911405966103714e-20
31,2.3471029087473248e-20
32,2.392245814424505e-20
33,6.213055599950351e-21
34,2.3368890170265987e-20
35,2.148618407158443e-20
36,7.591230456459777e-21
37,3.444581159048122e-20
38,3.6403590613139793e-20
39,3.864593213564004e-20
40,2.6400021340639844e-20
41,1.0723593822687259e-20
42,4.167751661688288e-20
43,2.8028099668583946e-20
44,2.975393765360618e-20
45,1.1826014367635003e-20
46,3.008983596503826e-20
47,2.2188368976680658e-20
48,2.861101369529213e-20
49,2.775314542182149e-20
