,k-means clusters 500
0,1
1,1
2,0
3,2
4,2
5,1
6,2
7,1
8,1
9,2
10,2
11,1
12,2
13,2
14,1
15,1
16,2
17,2
18,1
19,2
20,0
21,1
22,1
23,2
24,2
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,2
33,1
34,2
35,0
36,2
37,1
38,1
39,2
40,1
41,1
42,1
43,1
44,2
45,2
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,2
55,2
56,1
57,2
58,2
59,1
60,0
61,2
62,2
63,1
64,0
65,2
66,1
67,2
68,1
69,1
70,2
71,2
72,1
73,1
74,2
75,1
76,1
77,2
78,2
79,0
80,1
81,1
82,0
83,1
84,2
85,1
86,2
87,0
88,0
89,1
90,2
91,2
92,1
93,2
94,2
95,1
96,2
97,1
98,1
99,2
100,1
101,1
102,2
103,1
104,2
105,1
106,1
107,2
108,2
109,2
110,1
111,2
112,2
113,2
114,1
115,0
116,1
117,2
118,2
119,1
120,0
121,0
122,2
123,1
124,2
125,2
126,1
127,2
128,1
129,2
130,1
131,2
132,1
133,2
134,0
135,2
136,1
137,1
138,1
139,2
140,0
141,1
142,1
143,1
144,2
145,2
146,2
147,1
148,1
149,0
150,1
151,1
152,2
153,2
154,2
155,2
156,2
157,2
158,1
159,1
160,0
161,2
162,1
163,2
164,2
165,2
166,1
167,1
168,0
169,2
170,2
171,2
172,2
173,2
174,1
175,2
176,1
177,1
178,0
179,1
180,2
181,2
182,1
183,2
184,2
185,1
186,2
187,1
188,0
189,1
190,2
191,2
192,0
193,2
194,0
195,2
196,0
197,1
198,1
199,0
200,2
201,1
202,1
203,2
204,2
205,1
206,1
207,0
208,2
209,2
210,2
211,2
212,1
213,2
214,0
215,2
216,1
217,1
218,2
219,1
220,1
221,2
222,1
223,1
224,2
225,2
226,2
227,2
228,1
229,1
230,0
231,1
232,1
233,1
234,1
235,2
236,1
237,0
238,2
239,0
240,2
241,2
242,2
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,2
251,2
252,1
253,2
254,1
255,2
256,1
257,2
258,2
259,1
260,1
261,2
262,1
263,0
264,2
265,0
266,1
267,1
268,1
269,2
270,1
271,0
272,1
273,2
274,2
275,1
276,2
277,1
278,2
279,1
280,2
281,2
282,0
283,1
284,0
285,2
286,2
287,0
288,1
289,1
290,0
291,2
292,1
293,2
294,1
295,2
296,2
297,2
298,0
299,2
300,2
301,2
302,2
303,2
304,2
305,1
306,2
307,2
308,2
309,1
310,2
311,2
312,1
313,1
314,2
315,0
316,2
317,2
318,2
319,1
320,1
321,1
322,2
323,1
324,0
325,1
326,1
327,0
328,2
329,1
330,1
331,1
332,2
333,2
334,1
335,0
336,1
337,1
338,1
339,2
340,2
341,2
342,0
343,0
344,2
345,2
346,1
347,2
348,2
349,1
350,1
351,1
352,2
353,2
354,2
355,2
356,1
357,1
358,2
359,2
360,2
361,0
362,1
363,2
364,2
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,2
373,1
374,2
375,2
376,2
377,1
378,2
379,1
380,2
381,2
382,0
383,1
384,2
385,2
386,1
387,2
388,1
389,1
390,2
391,1
392,2
393,2
394,1
395,2
396,0
397,1
398,2
399,0
400,1
401,2
402,1
403,1
404,2
405,2
406,2
407,0
408,1
409,1
410,1
411,2
412,0
413,2
414,1
415,1
416,2
417,1
418,1
419,2
420,2
421,1
422,1
423,2
424,1
425,1
426,1
427,1
428,2
429,2
430,1
431,1
432,1
433,1
434,0
435,0
436,2
437,2
438,2
439,2
440,1
441,1
442,2
443,1
444,1
445,2
446,1
447,1
448,1
449,1
450,2
451,2
452,1
453,1
454,0
455,2
456,1
457,2
458,2
459,1
460,1
461,1
462,1
463,2
464,2
465,0
466,2
467,1
468,2
469,2
470,0
471,2
472,1
473,2
474,1
475,1
476,2
477,1
478,1
479,0
480,2
481,2
482,1
483,2
484,0
485,2
486,1
487,1
488,1
489,2
490,1
491,2
492,1
493,2
494,2
495,2
496,0
497,0
498,1
499,2
