,k-means clusters 500
0,1
1,0
2,2
3,2
4,2
5,1
6,2
7,2
8,2
9,2
10,0
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,1
19,2
20,1
21,0
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,1
30,2
31,2
32,2
33,1
34,2
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,0
44,0
45,1
46,2
47,2
48,2
49,0
50,1
51,2
52,2
53,1
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,1
62,2
63,0
64,2
65,2
66,0
67,2
68,2
69,1
70,2
71,1
72,2
73,1
74,2
75,2
76,2
77,1
78,2
79,2
80,0
81,2
82,2
83,2
84,2
85,0
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,0
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,1
104,2
105,1
106,2
107,2
108,2
109,2
110,1
111,2
112,2
113,2
114,2
115,2
116,2
117,1
118,2
119,0
120,0
121,1
122,2
123,1
124,1
125,2
126,0
127,2
128,2
129,2
130,2
131,1
132,2
133,1
134,2
135,2
136,2
137,2
138,0
139,2
140,2
141,0
142,2
143,0
144,2
145,2
146,2
147,2
148,1
149,2
150,1
151,2
152,2
153,2
154,1
155,1
156,2
157,2
158,2
159,2
160,0
161,2
162,2
163,2
164,2
165,2
166,0
167,2
168,2
169,1
170,1
171,2
172,1
173,2
174,2
175,1
176,2
177,2
178,2
179,2
180,1
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,0
194,2
195,2
196,0
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,1
208,0
209,2
210,2
211,2
212,2
213,2
214,0
215,2
216,0
217,2
218,2
219,2
220,1
221,2
222,2
223,2
224,2
225,2
226,1
227,2
228,0
229,2
230,2
231,1
232,2
233,2
234,2
235,2
236,1
237,2
238,2
239,0
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,1
249,0
250,0
251,2
252,1
253,2
254,1
255,0
256,1
257,2
258,2
259,0
260,2
261,1
262,2
263,1
264,2
265,2
266,2
267,2
268,0
269,2
270,0
271,2
272,2
273,2
274,2
275,1
276,2
277,2
278,2
279,2
280,2
281,2
282,1
283,2
284,2
285,2
286,1
287,2
288,0
289,2
290,1
291,2
292,2
293,2
294,2
295,2
296,1
297,2
298,1
299,0
300,2
301,0
302,2
303,1
304,2
305,2
306,2
307,2
308,0
309,2
310,2
311,1
312,1
313,2
314,2
315,1
316,2
317,2
318,1
319,0
320,2
321,2
322,1
323,2
324,2
325,1
326,2
327,0
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,1
340,2
341,2
342,2
343,2
344,2
345,0
346,2
347,2
348,2
349,0
350,2
351,0
352,1
353,2
354,1
355,2
356,1
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,0
367,2
368,1
369,2
370,2
371,0
372,2
373,1
374,2
375,2
376,2
377,0
378,2
379,2
380,2
381,2
382,2
383,1
384,1
385,2
386,0
387,2
388,0
389,1
390,0
391,2
392,2
393,2
394,2
395,2
396,2
397,1
398,0
399,2
400,2
401,2
402,2
403,0
404,2
405,2
406,2
407,2
408,2
409,0
410,0
411,0
412,2
413,2
414,0
415,2
416,2
417,2
418,2
419,1
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,0
434,2
435,2
436,2
437,2
438,2
439,0
440,1
441,1
442,2
443,2
444,2
445,2
446,2
447,1
448,2
449,2
450,2
451,2
452,2
453,1
454,0
455,2
456,1
457,1
458,2
459,2
460,2
461,2
462,0
463,2
464,0
465,2
466,2
467,0
468,2
469,1
470,2
471,2
472,2
473,2
474,2
475,2
476,1
477,1
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,1
486,2
487,2
488,0
489,2
490,2
491,2
492,2
493,2
494,1
495,1
496,2
497,2
498,0
499,2
