,"k-means clusters 500, (Joules)"
0,1.6754019402014918e-20
1,2.2454827344851838e-20
2,3.554819146544107e-20
3,3.555803306691113e-20
4,3.5520165484715824e-20
5,1.7913154327951783e-20
6,3.581325853175605e-20
7,3.592191060100899e-20
8,3.195941144570462e-20
9,3.222592760808544e-20
10,2.2444890478518022e-20
11,3.4134472576869607e-20
12,2.957326685305236e-20
13,3.816883042330653e-20
14,3.7150010418890354e-20
15,3.406871998547568e-20
16,3.7835583897040184e-20
17,3.3525946759603167e-20
18,1.828349747617006e-20
19,3.453183507274577e-20
20,1.7711775291999984e-20
21,2.0093522325034335e-20
22,3.209410381256944e-20
23,3.3561193499378694e-20
24,3.5714009644487546e-20
25,3.0332402299424475e-20
26,3.097808761379689e-20
27,3.8253497511838925e-20
28,3.400253718575847e-20
29,2.1709152623415773e-20
30,3.0547084248503476e-20
31,3.3536774714184593e-20
32,3.354511895432073e-20
33,2.1246342495840567e-20
34,3.2720509065423065e-20
35,3.3883195930122334e-20
36,3.3691448817018585e-20
37,1.825057876914351e-20
38,3.658920397792979e-20
39,3.45776959031357e-20
40,3.155408504407138e-20
41,3.8275288800647337e-20
42,3.4955522533485184e-20
43,2.145228702013534e-20
44,2.031416471788222e-20
45,2.695452667569448e-20
46,2.928779325451776e-20
47,3.498751694554458e-20
48,3.4690360094306887e-20
49,2.0646676884722326e-20
50,1.87860974856116e-20
51,3.800347684963199e-20
52,3.7499748457849226e-20
53,1.6885637320995936e-20
54,3.395314669743004e-20
55,3.380445532653685e-20
56,3.595433480806935e-20
57,3.2987395289667234e-20
58,3.24573082478314e-20
59,3.4138265020421324e-20
60,3.8507236541775973e-20
61,1.855091617981047e-20
62,3.475679215925754e-20
63,2.0159160644020284e-20
64,3.3337398837650856e-20
65,3.4740952164619773e-20
66,3.4708073671353407e-20
67,2.9431215345448474e-20
68,3.4809294595981765e-20
69,1.570515307714115e-20
70,2.9486866405178433e-20
71,2.6721958130009616e-20
72,3.4465301821884073e-20
73,2.286407552386483e-20
74,3.587701191007407e-20
75,3.297990705865225e-20
76,3.516132223096918e-20
77,1.776428700138445e-20
78,3.475014093095107e-20
79,3.611889981218842e-20
80,2.63726075000992e-20
81,3.4383796642400187e-20
82,3.1231593502540044e-20
83,3.45943455500769e-20
84,3.2441139065832097e-20
85,3.25161892659754e-20
86,3.4842300955736254e-20
87,3.5300171668333536e-20
88,3.844837976106517e-20
89,3.47681182724904e-20
90,3.380761348393596e-20
91,3.671455845920271e-20
92,3.3574866388854155e-20
93,3.441210808321561e-20
94,3.107661080497558e-20
95,2.0473005644819797e-20
96,3.355793020402172e-20
97,3.444174321840085e-20
98,3.3202000500875685e-20
99,3.521181266481266e-20
100,3.4559850443209656e-20
101,3.670455104756881e-20
102,3.3386053229963695e-20
103,3.0865121483733436e-20
104,3.3851173923482323e-20
105,2.460393040377172e-20
106,3.67450265990714e-20
107,3.782598708467381e-20
108,3.4255457157050313e-20
109,3.304718204251638e-20
110,3.251884938251422e-20
111,3.1215651752326444e-20
112,3.0986841392865025e-20
113,3.836212122338571e-20
114,3.511865162176876e-20
115,3.4375585395767655e-20
116,4.0491399811309284e-20
117,1.5804274075479837e-20
118,3.575243703679204e-20
119,2.2755732247489904e-20
120,3.076243588300959e-20
121,3.4023422651906993e-20
122,3.591209315690613e-20
123,2.846165074035482e-20
124,1.7106948342711597e-20
125,3.457607852329372e-20
126,2.2088359025361217e-20
127,3.09442468674832e-20
128,3.088071422264158e-20
129,3.5331793764261724e-20
130,3.359691258256261e-20
131,1.996087592400519e-20
132,3.214047281616438e-20
133,1.624703308651764e-20
134,3.3952341708409694e-20
135,3.436974431661504e-20
136,3.38684539271385e-20
137,3.0625495392708164e-20
138,3.405648048073985e-20
139,3.6811308470126156e-20
140,3.494554544664174e-20
141,2.0085637531970455e-20
142,3.7131550357584156e-20
143,2.1527023158430817e-20
144,3.355395287156935e-20
145,2.983427215618052e-20
146,3.92055557573807e-20
147,3.4169676145725305e-20
148,1.7961229196343393e-20
149,3.020015236435839e-20
150,1.797022990892872e-20
151,2.93546682567323e-20
152,3.2712906938967496e-20
153,3.167165743196117e-20
154,2.920656963386581e-20
155,2.599690578540033e-20
156,4.0470811509829335e-20
157,3.340645687378166e-20
158,3.164251133961058e-20
159,3.4233233903310897e-20
160,2.2702299349031397e-20
161,3.6109204241621974e-20
162,3.8055525381833504e-20
163,3.54638828569021e-20
164,3.489538320061957e-20
165,3.3665778425499186e-20
166,2.0209444722801474e-20
167,3.675976089497218e-20
168,3.52260510503943e-20
169,1.8705733960543812e-20
170,3.437017824693028e-20
171,3.582997164055466e-20
172,2.724375327266322e-20
173,3.48054800709354e-20
174,3.491642015470029e-20
175,3.807462760720433e-20
176,3.727371922898418e-20
177,3.8818578185641305e-20
178,3.5392739631930967e-20
179,4.011607438006609e-20
180,2.3595785408647152e-20
181,3.0459939796066915e-20
182,3.4333189171746313e-20
183,3.418163151103898e-20
184,3.7855527696308505e-20
185,3.331537420702865e-20
186,3.4239286141842055e-20
187,3.50678562627858e-20
188,3.194496977407029e-20
189,3.560346716498319e-20
190,3.5432611974842324e-20
191,3.262976657817763e-20
