,k-means clusters 100
0,1
1,0
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,1
12,2
13,1
14,2
15,2
16,2
17,2
18,2
19,2
20,0
21,1
22,1
23,2
24,0
25,2
26,1
27,2
28,2
29,1
30,1
31,0
32,2
33,2
34,2
35,2
36,2
37,0
38,1
39,2
40,2
41,1
42,0
43,1
44,2
45,2
46,2
47,2
48,2
49,2
50,1
51,2
52,0
53,2
54,2
55,2
56,0
57,2
58,2
59,2
60,2
61,2
62,2
63,0
64,0
65,2
66,2
67,2
68,2
69,2
70,1
71,2
72,1
73,2
74,2
75,1
76,2
77,2
78,2
79,2
80,2
81,1
82,1
83,2
84,2
85,2
86,2
87,1
88,0
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,0
98,0
99,2
