,"k-means clusters 100, (Joules)"
0,2.170705083968268e-20
1,1.839777724716623e-20
2,1.217057899862709e-20
3,1.2902411569616328e-20
4,4.333063630393927e-20
5,3.8097461963079297e-20
6,4.0291608154885487e-20
7,2.6811355581868765e-20
8,3.703200028583842e-20
9,3.953533050907638e-20
10,2.9704556758436336e-20
11,3.284539103597747e-20
12,4.146485695086352e-20
13,3.3500841157247786e-20
14,3.7294069357888507e-20
15,3.993016195008924e-20
16,2.5840118854660554e-20
17,4.505268333935103e-20
18,3.9437254758408606e-20
19,2.481963742203766e-20
20,9.600549784415728e-21
21,1.2585571016906415e-20
22,2.1045195078468353e-20
23,3.076119182197449e-20
24,1.9148250545128958e-20
25,4.387231351678302e-20
26,1.1861556686785218e-20
27,3.8385435090020064e-20
28,3.2497451784525036e-20
29,3.434907454075154e-20
30,2.6252762185619208e-20
31,1.603188597246222e-20
32,2.521307149748895e-20
33,2.8139680622321204e-20
34,2.771010224202542e-20
35,2.8289162359297655e-20
36,4.1738601959159234e-20
37,1.0287121236295643e-20
38,3.5284757778312487e-20
39,2.8372141441182686e-20
40,2.4455043808849596e-20
41,1.796689793466941e-20
42,1.0826568477694359e-20
43,1.2669254691318749e-20
44,2.663865263020778e-20
45,4.658952333275787e-20
46,3.9227676266680446e-20
47,4.1539347177592247e-20
48,2.5633614479498543e-20
49,3.010647343990632e-20
50,1.368649242136618e-20
51,2.6487462483455466e-20
52,9.777815870153136e-21
53,2.6934579292767554e-20
54,3.732499588661978e-20
55,3.8239766049229495e-20
56,2.572361882184102e-20
57,4.1734576352998455e-20
58,2.7213602834104735e-20
59,3.194186384534711e-20
60,3.111947479717549e-20
61,3.9244375762378254e-20
62,3.2531636161592124e-20
63,1.440540258369598e-20
64,2.3736310909083913e-20
65,4.105198372111502e-20
66,3.692886702637107e-20
67,4.04847354935126e-20
68,4.4937911206851505e-20
69,4.007905324867608e-20
70,1.317559009566314e-20
71,3.844327697201112e-20
72,2.1961376752463278e-20
73,3.66024607809988e-20
74,3.353800836618182e-20
75,1.1824568263399415e-20
76,3.797514874281953e-20
77,4.4004037270524274e-20
78,3.8624220137704064e-20
79,3.6314358261254565e-20
80,4.0714261351096056e-20
81,3.402370924683142e-20
82,1.7633698716496324e-20
83,4.2829935576392256e-20
84,3.062175602002242e-20
85,4.1566290359005127e-20
86,2.863739603736008e-20
87,2.4916137879964242e-20
88,1.3699341637511062e-20
89,3.150093179578787e-20
90,2.956084631388634e-20
91,2.6341247170182395e-20
92,3.612446968881533e-20
93,3.0205880897361645e-20
94,2.881519948955154e-20
95,3.574034980812756e-20
96,2.9325672565055814e-20
97,2.425815497337857e-20
98,1.1534427118846632e-20
99,4.011429054588874e-20
