,k-means clusters 50
0,0.06627836283762019
1,0.05454563776746087
2,0.13224681538931315
3,0.0002944892229042704
4,0.00024041051357052553
5,5.405350957528718e-05
6,0.00041014118859206947
7,0.0029894053563180086
8,0.00013250212647508076
9,0.0026752543909253023
10,0.001047360900474474
11,0.05026007445328924
12,0.00301964552264426
13,0.0027321157086846984
14,0.00017492298870339367
15,0.0030238849067401757
16,0.00027093184056350766
17,0.0002563219720213683
18,0.0010074182411821404
19,0.002044995282667314
20,0.0017293541707112175
21,0.0007873225221590701
22,9.162297039488181e-05
23,0.17597487715252394
24,9.955468956130801e-05
25,0.0003385673248023266
26,0.04668881477508864
27,0.05849419568551719
28,0.008588492837673493
29,0.03808011384823081
30,0.23266213264949226
31,0.00016367769855785033
32,5.908586778029265e-05
33,0.0001602494831961305
34,0.00023134923174515835
35,0.0032292181955553743
36,0.0030268481352362874
37,0.0002502143345015456
38,0.0020184646853743764
39,0.01677205274089228
40,0.0006172878676360145
41,0.00028704648051582396
42,0.003359397257584787
43,0.0002503333906132851
44,0.0012291203969503992
45,0.0035185708368231264
46,0.008604547274524782
47,0.0648876139209929
48,3.472513142262252e-05
49,0.004060404324216549
