,k-means clusters 500
0,1
1,0
2,2
3,2
4,2
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,1
16,2
17,2
18,2
19,2
20,1
21,2
22,2
23,2
24,2
25,2
26,2
27,0
28,1
29,2
30,2
31,2
32,2
33,1
34,1
35,2
36,2
37,0
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,2
48,0
49,1
50,2
51,2
52,2
53,2
54,2
55,0
56,2
57,0
58,1
59,2
60,2
61,2
62,1
63,2
64,2
65,1
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,1
76,1
77,2
78,2
79,2
80,2
81,2
82,2
83,0
84,2
85,2
86,1
87,2
88,2
89,1
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,1
99,0
100,2
101,2
102,1
103,2
104,2
105,2
106,2
107,2
108,0
109,0
110,2
111,2
112,2
113,2
114,1
115,2
116,1
117,0
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,1
126,2
127,2
128,2
129,2
130,1
131,2
132,2
133,2
134,1
135,2
136,2
137,2
138,2
139,1
140,1
141,2
142,2
143,2
144,0
145,1
146,2
147,0
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,2
162,2
163,2
164,2
165,2
166,1
167,2
168,1
169,2
170,2
171,1
172,2
173,1
174,2
175,2
176,2
177,2
178,1
179,2
180,2
181,2
182,1
183,2
184,1
185,2
186,2
187,2
188,2
189,0
190,2
191,2
192,2
193,2
194,2
195,0
196,1
197,2
198,2
199,2
200,2
201,0
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,0
212,2
213,2
214,2
215,2
216,2
217,1
218,2
219,2
220,2
221,2
222,2
223,0
224,2
225,0
226,2
227,2
228,0
229,2
230,2
231,2
232,0
233,2
234,2
235,2
236,1
237,2
238,0
239,2
240,0
241,2
242,2
243,1
244,2
245,1
246,2
247,2
248,2
249,2
250,0
251,2
252,0
253,2
254,2
255,1
256,2
257,2
258,2
259,2
260,0
261,2
262,2
263,2
264,1
265,2
266,2
267,2
268,1
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,1
278,2
279,2
280,2
281,2
282,1
283,1
284,1
285,2
286,1
287,2
288,2
289,0
290,2
291,2
292,1
293,0
294,2
295,2
296,0
297,2
298,2
299,2
300,2
301,2
302,2
303,0
304,2
305,2
306,2
307,2
308,2
309,2
310,1
311,2
312,2
313,0
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,1
324,1
325,2
326,2
327,2
328,2
329,2
330,2
331,0
332,2
333,0
334,2
335,1
336,1
337,0
338,0
339,2
340,2
341,0
342,2
343,2
344,2
345,2
346,2
347,2
348,1
349,1
350,0
351,2
352,2
353,2
354,1
355,2
356,2
357,2
358,1
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,1
367,2
368,2
369,1
370,1
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,0
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,1
392,2
393,1
394,1
395,1
396,2
397,2
398,0
399,2
400,2
401,2
402,2
403,2
404,0
405,2
406,2
407,0
408,1
409,2
410,2
411,2
412,1
413,2
414,2
415,2
416,2
417,1
418,1
419,2
420,1
421,2
422,1
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,1
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,0
441,2
442,1
443,2
444,2
445,2
446,2
447,2
448,1
449,1
450,2
451,2
452,2
453,2
454,2
455,2
456,0
457,2
458,1
459,0
460,2
461,2
462,0
463,1
464,2
465,2
466,2
467,2
468,0
469,2
470,2
471,2
472,2
473,2
474,0
475,2
476,2
477,2
478,2
479,0
480,2
481,0
482,2
483,2
484,1
485,1
486,0
487,0
488,1
489,2
490,2
491,2
492,2
493,0
494,2
495,2
496,1
497,1
498,2
499,2
