,"k-means clusters 75, (Joules)"
0,2.0284451533198763e-20
1,1.9626323121583072e-20
2,2.2925048637603677e-20
3,1.5720398728747754e-20
4,2.8911430943835214e-20
5,7.510942068613438e-21
6,1.6907367977905992e-20
7,2.802133140824977e-20
8,2.1632299992413416e-20
9,2.6249937550235703e-20
10,2.555863605913193e-20
11,2.680182809606166e-20
12,1.903462432873373e-20
13,2.603797816492452e-20
14,2.924940918475438e-20
15,1.8758184307262267e-20
16,2.853086015575606e-20
17,2.983843839466816e-20
18,2.395702371732728e-20
19,2.9617814323434266e-20
20,2.4835461693717382e-20
21,2.876162319657376e-20
22,2.432997463258771e-20
23,1.2869685953861259e-20
24,2.867858675472886e-20
25,2.713629795851415e-20
26,2.728107661470035e-20
27,2.382736673085328e-20
28,2.748736465807498e-20
29,2.4034704941052475e-20
30,2.560882619394917e-20
31,2.1611232918244973e-20
32,2.83970967109792e-20
33,3.20689550939103e-20
34,2.2389627701874833e-20
35,2.819740222040817e-20
36,2.4958703519437182e-20
37,2.6212460216786496e-20
38,2.5520511074447286e-20
39,2.208058952856785e-20
40,1.350959019449918e-20
41,1.2186220081711603e-20
42,2.6869745146072373e-20
43,2.8303523679143043e-20
44,1.8102270066417583e-20
45,2.3350926500111315e-20
46,1.6474090612766395e-20
47,2.5743232531610705e-20
48,2.503667713767606e-20
49,2.4452068869419157e-20
50,2.3090686256203436e-20
51,1.9970953363408878e-20
52,1.6055321659264228e-20
53,2.9284850522201943e-20
54,6.690232933912768e-21
55,1.4508289064520238e-20
56,2.800734968896385e-20
57,2.0291178447850488e-20
58,1.7770648879468293e-20
59,2.088727626584582e-20
60,2.3599190202616343e-20
61,2.3102855065864753e-20
62,2.339806385066064e-20
63,2.868970755220988e-20
64,7.025559296249304e-21
65,2.0592410568794024e-20
66,2.8098238222435337e-20
67,2.716470028351442e-20
68,2.7099393774463202e-20
69,2.3900987411350974e-20
70,2.9085109365293526e-20
71,2.0702638316840643e-20
72,2.7640022044566273e-20
73,2.4022427157157953e-20
74,2.9684190582954895e-20
