,k-means clusters 100
0,2
1,0
2,2
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,0
15,2
16,1
17,0
18,2
19,2
20,0
21,1
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,0
32,2
33,2
34,2
35,0
36,2
37,2
38,0
39,2
40,2
41,2
42,2
43,1
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,0
54,0
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,1
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,0
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,0
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,0
93,2
94,1
95,0
96,2
97,2
98,0
99,2
