,"k-means clusters 75, (Joules)"
0,1.8878198013671822e-20
1,2.1357236802431777e-20
2,2.535106820226214e-20
3,2.6626759325044954e-20
4,9.623069767273144e-21
5,2.3677498664170674e-20
6,2.0672326316405804e-20
7,2.3833222442423393e-20
8,2.7825405575146965e-20
9,2.4066739278661246e-20
10,5.651227773527484e-21
11,2.5168194368153768e-20
12,2.6086917646981192e-20
13,2.365217298951624e-20
14,2.329493716408704e-20
15,3.246342619107159e-20
16,1.9719322823689838e-20
17,2.2732897057356885e-20
18,2.8900780216227847e-20
19,2.6871326033139106e-20
20,3.053775173382903e-20
21,2.1621300163669013e-20
22,2.112496127918376e-20
23,2.5811756879943097e-20
24,2.5980164800161965e-20
25,2.2157757443987382e-20
26,2.0934321320235028e-20
27,2.4945573495544962e-20
28,2.784408071775064e-20
29,2.606697544889803e-20
30,2.5915345308826844e-20
31,1.1163555823435509e-20
32,2.853715045541943e-20
33,2.01648326011796e-20
34,2.274915740374568e-20
35,2.7423624425284045e-20
36,2.065620607095274e-20
37,1.8704097145496176e-20
38,2.2959620326620016e-20
39,7.535589902306881e-21
40,2.0505686698162577e-20
41,1.9177174736604093e-20
42,2.917415375803949e-20
43,2.842492529056679e-20
44,2.5880383214406513e-20
45,2.2725326871381265e-20
46,3.060441232358904e-20
47,2.6607312671706534e-20
48,2.7990533448455884e-20
49,2.055504618220555e-20
50,3.1559792758840474e-20
51,2.019915906509623e-20
52,2.2364822163564757e-20
53,2.3431773529569992e-20
54,2.831183015063413e-20
55,2.6670296544562874e-20
56,2.0477765667394564e-20
57,1.7921956250424094e-20
58,7.501208994106497e-21
59,2.5208601306646227e-20
60,2.6107532924267394e-20
61,2.4398315493630276e-20
62,2.521626698677032e-20
63,2.5837705648362294e-20
64,2.0238222456823234e-20
65,2.4627709411168362e-20
66,2.71313113039594e-20
67,2.710810031012793e-20
68,2.6738758097662874e-20
69,2.3318893081749e-20
70,2.8315787809625596e-20
71,2.0779656452577283e-20
72,2.1019834982330243e-20
73,2.5884874300129677e-20
74,3.0346617283879275e-20
