,k-means clusters 75
0,0.004871291481539053
1,0.08853205809036359
2,0.0014621911406098415
3,0.002355588354069218
4,0.002012513226121657
5,0.0011685972536471631
6,0.002815219463135113
7,0.003035538637309816
8,0.0025154875194411887
9,0.0033487283258860664
10,0.0012002974591371455
11,0.0034777338437857923
12,0.004834926141517325
13,0.0009296404886519867
14,0.0017162245177505275
15,0.003979300277560359
16,0.0012019923395217025
17,0.003385687878042597
18,0.0023440452842332627
19,0.004579230486350706
20,0.002021255368741303
21,0.0015806862281779323
22,0.12868507264092535
23,0.0036749617978761202
24,0.004304559659884533
25,0.0031378922568917403
26,0.0023056105195547643
27,0.002117294584663497
28,0.004079999098326502
29,0.0013773029327395969
30,0.008115084628100101
31,0.0013299210461499324
32,0.002942439378600564
33,0.0033647518819226
34,0.0018527382345704044
35,0.0025950522516890962
36,0.002314185917564696
37,0.0009534509243822212
38,0.002448308737409612
39,0.13958170837227543
40,0.0026420178288496065
41,0.0037154991310508877
42,0.0009328251396500225
43,0.13570508131058331
44,0.0012917286026872337
45,0.004025799043292058
46,0.09780491399238274
47,0.0013157904969788034
48,0.00119872374818967
49,0.043981792080763894
50,0.0012085173644138967
51,0.003087171453171375
52,0.0007604260893397475
53,0.002899281793225163
54,0.0008845046843533674
55,0.0006415447044932762
56,0.0008221679600568827
57,0.0006181324633890377
58,0.0025116898781636743
59,0.0015043335762122822
60,0.003544994608504369
61,0.0024533436948401474
62,0.003836803044203641
63,0.0023763899053437414
64,0.0010303427915128508
65,0.003447894733452999
66,0.004042900723926506
67,0.0007749737877542229
68,0.0032841355164733464
69,0.0028623161438358015
70,0.0009843180891593258
71,0.00435640789655471
72,0.0008518140604625109
73,0.003265414179501035
74,0.19678744081410796
