,"k-means clusters 500, (Joules)"
0,2.656212899788939e-20
1,2.4598045629065015e-20
2,2.4119027702619493e-20
3,2.3067630228881476e-20
4,2.935824176413931e-20
5,3.071942561430265e-20
6,2.3859997197533705e-20
7,2.5858672588663814e-20
8,2.449719469548068e-20
9,3.2038236573874874e-20
10,2.336743872626547e-20
11,3.367736711201071e-20
12,3.080444379055612e-20
13,2.3637844528306454e-20
14,2.755569705409083e-20
15,2.677403581705834e-20
16,2.3763243205816535e-20
17,2.0878155906561694e-20
18,2.6426997895042355e-20
19,3.4233746411754294e-20
20,3.906511053346206e-20
21,2.8084112417338335e-20
22,2.6229557278909354e-20
23,2.900372011393178e-20
24,2.6346962223230942e-20
25,2.2009932982262446e-20
26,2.3291710274058598e-20
27,2.79457001439878e-20
28,3.689397461507227e-20
29,2.361697703891367e-20
30,2.5842361925354044e-20
31,2.951808959379124e-20
32,3.107626110149458e-20
33,2.357242388904709e-20
34,2.3872877609725293e-20
35,2.9604430002141925e-20
36,2.6537278311519863e-20
37,2.268072834051907e-20
38,2.1399573410139725e-20
39,2.3481648177672973e-20
40,2.72017414309705e-20
41,2.639231662742235e-20
42,3.1344608700191644e-20
43,2.6581351612660423e-20
44,2.5444520319333073e-20
45,4.938335524450417e-20
46,2.1917270550510982e-20
47,2.478465299320604e-20
48,3.384498046093703e-20
49,2.1787903853051344e-20
50,2.393264135393059e-20
51,2.4409466385931505e-20
52,2.4074601986313545e-20
53,2.493594657459915e-20
54,2.6718306615254826e-20
55,2.4253239287896556e-20
56,2.3972515651840812e-20
57,2.8616645954257516e-20
58,2.600574460255493e-20
59,3.102602015710485e-20
60,3.323506674071477e-20
61,2.8464701186058276e-20
62,3.286423420557184e-20
63,3.140343528882179e-20
64,2.6150194016052972e-20
65,3.321305814251271e-20
66,2.6167789895415414e-20
67,2.663850280824709e-20
68,2.3173273009072378e-20
69,2.581768297775941e-20
70,3.6890407452937906e-20
71,3.1609683924496334e-20
72,2.767949040101377e-20
73,2.331363141894597e-20
74,3.1053684649026434e-20
75,2.5915562517794807e-20
76,3.2697984322790807e-20
77,3.106792774129789e-20
78,3.478036955531117e-20
79,2.2934939983649632e-20
80,2.4944092073616032e-20
81,2.4700233375042336e-20
82,2.556263900047042e-20
83,3.531918902709706e-20
84,2.5243426744951406e-20
85,2.237708972384618e-20
86,2.946902464041374e-20
87,2.376320779242e-20
88,3.010832948240414e-20
89,2.817578336044104e-20
90,2.2845711025391188e-20
91,2.481500620488231e-20
92,2.675620421113632e-20
93,2.54672859967456e-20
94,2.6914190002730483e-20
95,2.4117822744794807e-20
96,2.8705032012342163e-20
97,3.072686589234477e-20
