,k-means clusters 100
0,0
1,2
2,2
3,1
4,0
5,1
6,2
7,2
8,0
9,2
10,2
11,2
12,1
13,0
14,1
15,1
16,2
17,2
18,2
19,2
20,2
21,2
22,1
23,1
24,0
25,0
26,0
27,2
28,0
29,1
30,2
31,2
32,0
33,0
34,1
35,2
36,0
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,0
47,0
48,1
49,2
50,2
51,2
52,2
53,1
54,2
55,2
56,1
57,1
58,2
59,1
60,0
61,2
62,0
63,1
64,0
65,2
66,2
67,2
68,2
69,2
70,1
71,2
72,2
73,2
74,2
75,2
76,1
77,2
78,2
79,0
80,2
81,2
82,0
83,2
84,2
85,2
86,0
87,2
88,2
89,0
90,1
91,2
92,2
93,2
94,2
95,2
96,1
97,2
98,0
99,2
