,"k-means clusters 100, (Joules)"
0,1.3197839680931234e-20
1,2.258013052791298e-20
2,2.215521102075091e-20
3,1.7791916924752746e-20
4,1.393350322474212e-20
5,2.0681926155551257e-20
6,2.2471583210203828e-20
7,2.1201665914883142e-20
8,1.5202797650209264e-20
9,2.6004874983160448e-20
10,1.568641223810179e-20
11,2.0736953500890465e-20
12,2.1073813733172748e-20
13,1.736414869992964e-20
14,2.5176472627721073e-20
15,2.4424762347637955e-20
16,2.36386219084087e-20
17,2.0811315982985134e-20
18,2.6003835819444504e-20
19,2.4235298832717962e-20
20,2.301291475245916e-20
21,2.1956100756753917e-20
22,1.9689173707630083e-20
23,1.8294272980116636e-20
24,1.4577032848068662e-20
25,1.089041264504568e-20
26,3.134222403893662e-20
27,2.137805422672548e-20
28,2.2749021836342973e-20
29,1.5901073991691205e-20
30,2.0926102314262614e-20
31,2.794671817931951e-20
32,1.892201918577261e-20
33,2.2762075196427404e-20
34,2.315296300898622e-20
35,2.4275478920486536e-20
36,1.2330189098980601e-20
37,2.645433567346583e-20
38,2.1421571358913196e-20
39,2.1371519609391765e-20
40,2.617675164941941e-20
41,2.268354779397224e-20
42,2.2082790398127613e-20
43,2.1501574916180342e-20
44,2.2924525754632677e-20
45,2.6603851988753576e-20
46,1.1844547819083612e-20
47,1.9180933971286685e-20
48,2.2430639108073257e-20
49,2.251231153270988e-20
50,2.2595296880870825e-20
51,2.562199857763927e-20
52,2.5154901772425732e-20
53,2.1364416994688965e-20
54,2.5771070433774884e-20
55,2.1358612376100488e-20
56,2.762192168537471e-20
57,2.21089128886575e-20
58,2.611602889569496e-20
59,1.5649876981449422e-20
60,1.1699494028236999e-20
61,2.1787053654024562e-20
62,1.3233394252453068e-20
63,2.0733215880479777e-20
64,1.4825021995855563e-20
65,2.0580021937748236e-20
66,2.414720954008578e-20
67,2.3229431965402855e-20
68,2.575774620001163e-20
69,2.556919355676337e-20
70,1.9214052652639316e-20
71,2.471380561958443e-20
72,2.0854095408749092e-20
73,2.0022761498351916e-20
74,2.189395817903393e-20
75,2.33951980336171e-20
76,2.1182828882975027e-20
77,2.4252548330756812e-20
78,2.2197232941019964e-20
79,2.0576268882246528e-20
80,2.3687853642667332e-20
81,2.524214241807274e-20
82,1.928575922811179e-20
83,2.4190024957311262e-20
84,2.5078877281916933e-20
85,2.310555054224415e-20
86,2.023810333745046e-20
87,2.1725406158598045e-20
88,2.249960412969018e-20
89,1.419602526494023e-20
90,1.6782098313703425e-20
91,2.5811479204614282e-20
92,2.034894494294693e-20
93,2.121088627928497e-20
94,2.2919752494392914e-20
95,2.1561055532992416e-20
96,1.586779284573595e-20
97,2.983367784271099e-20
98,1.5292306783300093e-20
99,2.1817038629916674e-20
