,k-means clusters 100
0,0.041259083643638256
1,0.004278564132763465
2,0.004741032942971751
3,0.013601645858187565
4,0.03454195906748705
5,0.006767426907240443
6,0.004392228060376993
7,0.005969003151850173
8,0.025421160900958095
9,0.0018708343542521118
10,0.022618469695317524
11,0.00667807192953949
12,0.006156214791152106
13,0.01508221843107416
14,0.0022852643282315335
15,0.00274026389780048
16,0.0033132952030851294
17,0.006559191578562362
18,0.0018713040033319227
19,0.0028685835256451256
20,0.003853879171322692
21,0.004974621558579156
22,0.008601324638819461
23,0.012047398711230993
24,0.02956918736984652
25,0.07203994981330382
26,0.000515390590476878
27,0.005720030083878757
28,0.0041075324384603085
29,0.021475573018283508
30,0.006379828355138337
31,0.0011703937841380434
32,0.010352408974323102
33,0.004094601843828655
34,0.003725690250135193
35,0.002840877625949382
36,0.05087892208314382
37,0.0016783633564150852
38,0.005660219544313716
39,0.005729065765601047
40,0.0017947547931864384
41,0.004173009400701894
42,0.0048246970074667965
43,0.005551888551744504
44,0.003937044116359962
45,0.0016188306602808002
46,0.05721141207660073
47,0.009724801135533413
48,0.004435882178867371
49,0.004349230226930044
50,0.00426291884282193
51,0.002052106309384171
52,0.002297202432551413
53,0.005738903029344516
54,0.001979529200563862
55,0.005746955084246533
56,0.0012659128965094753
57,0.0047943500711682355
58,0.0018212730579576005
59,0.022818959716026
60,0.05925146692058461
61,0.005181952587297899
62,0.04090626530780202
63,0.006684103661040257
64,0.02784997563694537
65,0.006936071078947341
66,0.002930274104808944
67,0.0036575055608062033
68,0.001985910408137893
69,0.0020784482250195734
70,0.009647316164696228
71,0.0025554721813766538
72,0.006491763150876705
73,0.007935445198885671
74,0.005049855270467991
75,0.003513951758154873
76,0.005996224042865942
77,0.0028566563069983447
78,0.004693153807732049
79,0.006942361722064716
80,0.003274127759247518
81,0.0022493008378778948
82,0.009481659276927477
83,0.0029001257019816663
84,0.0023397765946315515
85,0.003768603179423525
86,0.007533234673933486
87,0.0052596928524681116
88,0.004362600354384216
89,0.03241961591558635
90,0.01735895207913309
91,0.0019603018495814267
92,0.0073342208801847695
93,0.005955724131862166
94,0.003941585994099588
95,0.005472693184346441
96,0.021648909305878362
97,0.0007419695321247598
98,0.02487744003199461
99,0.005144556599923579
